"id","street","zipcode","lat","long","walkscore","walkscoredesc","dist","cell_id","lat_cell","long_cell","hood","hood_id","State","County","City","Name","RegionID"
7,"MAIN ST","45202",39.0988958,-84.5090446,51,"Somewhat Walkable",0.183775836239145,630022,39.0984969420206,-84.5099006047046,"Central Business District",273189,"OH","Hamilton","Cincinnati","Central Business District","273189"
8,"COLERAIN AVE","45225",39.1405033,-84.5381297,52,"Somewhat Walkable",0.253854886878761,750041,39.1412509050771,-84.5370111621186,"Camp Washington",199841,"OH","Hamilton","Cincinnati","Camp Washington","199841"
98,"MAYLAND DR","45230",39.0765224,-84.3850283,23,"Car-Dependent",0.112931520216385,80013,39.0781486219064,-84.3856440263959,"Mt. Washington",274624,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
106,"DYER AVE","45230",39.0781341,-84.3841146,38,"Car-Dependent",0.0878400891974939,70013,39.0781456139969,-84.3833848198277,"Mt. Washington",274624,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
216,"COTTAGE CT","45230",39.0793027,-84.3807796,52,"Somewhat Walkable",0.0958198319798448,60014,39.0803925627839,-84.3811256134496,"Mt. Washington",274624,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
402,"GLENWOOD AVE","45217",39.1557662,-84.504999,29,"Car-Dependent",0.191535367197781,610047,39.1547457269195,-84.5053821787281,"Avondale",199345,"OH","Hamilton","Cincinnati","North Avondale","274686"
403,"EHRMAN AVE","45220",39.1496476,-84.5058406,34,"Car-Dependent",0.0841016984896764,610045,39.150245722994,-84.5053821787387,"Avondale",199345,"OH","Hamilton","Cincinnati","Avondale","199345"
404,"GLENRIDGE PL","45217",39.1545389,-84.5030259,31,"Car-Dependent",0.170797093370564,600047,39.1547450290438,-84.5031229658641,"Avondale",199345,"OH","Hamilton","Cincinnati","Avondale","199345"
405,"FOREST AVE","45220",39.14925,-84.510518,0,"Car-Dependent",0.217083431461541,630045,39.1502469878526,-84.5099006045931,"Avondale",199345,"OH","Hamilton","Cincinnati","Avondale","199345"
406,"CLINTON SPRINGS","45217",39.1579899,-84.505808,49,"Car-Dependent",0.145849780596115,610048,39.1569957288811,-84.5053821787227,"Clifton",200052,"OH","Hamilton","Cincinnati","Clifton","200052"
